"config_id","config_name","config_key","config_value","config_type","create_by","create_time","update_by","update_time","remark"
1,"Main Frame Page","sys.index.skinName","skin-blue","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:28:31 PM,"skin-blue、skin-green、skin-purple、skin-red、skin-yellow"
2,"User Init Password","sys.user.initPassword","123456","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:29:05 PM,"123456"
3,"Main frame page-sidebar theme","sys.index.sideTheme","theme-dark","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:29:43 PM,"theme-dark，theme-light，theme-blue"
4,"Enable User Register","sys.account.registerUser","false","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:30:39 PM,"true/false"
5,"User Management-Password Character Range","sys.account.chrtype","0","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:31:51 PM,"The default range of arbitrary characters, 0 arbitrary (password can enter any characters), 1 number (password can only be 0-9 numbers), 2 English letters (password can only be az and AZ letters), 3 letters and numbers (password must contain Letters, numbers), 4 alphanumerics and special characters (currently supported special characters include: ~!@#$%^&amp;*()-=_+)"
6,"User management-initial password modification strategy","sys.account.initPasswordModify","0","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:32:26 PM,"0: The initial password modification strategy is closed without any prompt, 1: Remind the user, if the initial password is not modified, the password modification dialog box will be reminded when logging in"
7,"User management-account password update cycle","sys.account.passwordValidateDays","0","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:32:51 PM,"Password update cycle (fill in the number, the data initialization value is 0, there is no limit, if the modification must be a positive integer greater than 0 and less than 365), if the cycle exceeds this period when logging in to the system, the password modification dialog box will be reminded when logging in"
8,"Main frame page-menu navigation display style","sys.index.menuStyle","default","Y","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:33:13 PM,"Menu navigation display style (default is the left navigation menu, topnav is the top navigation menu)"
9,"Main frame page-whether to open the footer","sys.index.footer","true","Y","admin",12/2/2021 2:06:17 PM,"admin",12/3/2021 5:33:32 PM,"Whether to enable the bottom footer display (true display, false hide)"
10,"Main frame page-whether to open the tab","sys.index.tagsView","true","Y","admin",12/2/2021 2:06:17 PM,"admin",12/3/2021 5:33:50 PM,"Whether to open the menu multi-tab display (true display, false hide)"
112,"Username Misa","business.web.misa.username","ketoan@giaybq.com.vn","Y","admin",2/10/2022 8:20:29 AM,"admin",2/16/2022 9:37:14 AM,"username misa"
113,"Password Misa","business.web.misa.password","ketoanBQ9@","Y","admin",2/10/2022 8:21:04 AM,"admin",2/16/2022 9:37:55 AM,"password misa"
114,"Mã thuế","business.web.taxId","R10","Y","admin",2/10/2022 8:23:28 AM,"admin",2/10/2022 8:23:53 AM,"mã thuế"
115,"link truy cập Misa","business.web.url","https://app.meinvoice.vn/login/1?ReturnUrl=%2F","Y","admin",2/11/2022 6:17:03 AM,"admin",2/16/2022 9:22:31 AM,"link url truy cập"
116,"MST BQ","business.web.taxCode","0400481354","Y","admin",2/11/2022 6:24:10 AM,"admin",2/16/2022 1:16:10 PM,"MST BQ"
117,"Username Bravo","business.web.bravo.username","robot","Y","admin",2/16/2022 9:39:06 AM,"admin",2/16/2022 9:40:48 AM,"tên đăng nhập bravo"
118,"Password Bravo","business.web.bravo.password","ketoan12345","Y","admin",2/16/2022 9:39:59 AM,"admin",2/17/2022 10:55:23 AM,"mật khẩu bravo"
