"dict_code","dict_sort","dict_label","dict_value","dict_type","css_class","list_class","is_default","status","create_by","create_time","update_by","update_time","remark"
1,1,"Nam","0","sys_user_sex","","","Y","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 4:20:45 PM,""
2,2,"Nữ","1","sys_user_sex","","","N","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 4:21:01 PM,""
3,3,"Không xác định","2","sys_user_sex","","","N","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 4:21:28 PM,""
4,1,"hiển thị","0","sys_show_hide","","primary","Y","0","admin",12/2/2021 2:06:14 PM,"admin",12/4/2021 8:55:10 AM,"Hiển thị"
5,2,"ẩn","1","sys_show_hide","","danger","N","0","admin",12/2/2021 2:06:14 PM,"admin",12/4/2021 8:55:17 AM,"Không hiển thị"
6,1,"Normal","0","sys_normal_disable","","primary","Y","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 4:26:12 PM,""
7,2,"Disable","1","sys_normal_disable","","danger","N","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 4:25:25 PM,""
8,1,"normal","0","sys_job_status","","primary","Y","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:09:36 PM,""
9,2,"pause","1","sys_job_status","","danger","N","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:09:56 PM,""
10,1,"default","DEFAULT","sys_job_group","","","Y","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:10:53 PM,""
11,2,"system","SYSTEM","sys_job_group","","","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:11:03 PM,"系统分组"
12,1,"Yes","Y","sys_yes_no","","primary","Y","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:12:18 PM,""
13,2,"No","N","sys_yes_no","","danger","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:12:26 PM,""
14,1,"Cảnh báo","1","sys_notice_type","","warning","Y","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:14:41 PM,""
15,2,"Thông báo","2","sys_notice_type","","success","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:14:48 PM,"公告"
16,1,"thông thường","0","sys_notice_status","","primary","Y","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:16:02 PM,""
17,2,"đóng","1","sys_notice_status","","danger","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:16:11 PM,""
18,99,"Khác","0","sys_oper_type","","info","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:20:24 PM,""
19,1,"Thêm","1","sys_oper_type","","info","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:18:03 PM,""
20,2,"Sửa","2","sys_oper_type","","info","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:18:12 PM,""
21,3,"Xóa","3","sys_oper_type","","danger","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:18:25 PM,""
22,4,"Authorization","4","sys_oper_type","","primary","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:18:40 PM,""
23,5,"Export","5","sys_oper_type","","warning","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:18:54 PM,""
24,6,"Import","6","sys_oper_type","","warning","N","0","admin",12/2/2021 2:06:15 PM,"admin",12/3/2021 5:19:09 PM,""
25,7,"Cancel","7","sys_oper_type","","danger","N","0","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:19:27 PM,""
26,8,"Gen code","8","sys_oper_type","","warning","N","0","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:19:47 PM,""
27,9,"Clear data","9","sys_oper_type","","danger","N","0","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:20:11 PM,""
28,1,"Thành công","0","sys_common_status","","primary","N","0","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:25:30 PM,""
29,2,"Thất bại","1","sys_common_status","","danger","N","0","admin",12/2/2021 2:06:16 PM,"admin",12/3/2021 5:25:43 PM,""
